模型,R²,RMSE,MAE,类型
梯度提升回归,0.9259629504381934,615.4091111772144,275.6572812560434,树模型/集成模型
中位数集成,0.9246951599088546,620.6557958840496,276.8479234719112,集成方法
随机森林回归,0.9215698811523861,633.4040071624429,277.53581603156647,树模型/集成模型
加权平均集成,0.9183263193523532,646.3688726250018,279.1835102480775,集成方法
极端随机树回归,0.9176759663311711,648.9372302171499,278.2105793117426,树模型/集成模型
决策树回归,0.9153819687898468,657.9165756925258,282.78896848575596,树模型/集成模型
LightGBM回归,0.9050412933760247,696.9582533708104,278.39862206225246,树模型/集成模型
XGBoost回归,0.9039082780242604,701.1038597859094,280.64334135424144,树模型/集成模型
AdaBoost回归,0.8810799813930491,779.9501649374434,334.5054045029844,树模型/集成模型
简单平均集成,-19.74381815549755,10301.102731173702,1379.0004203813314,集成方法
Lasso回归,-3313896250.58409,130199352.34401238,1995868.2319333237,线性模型
弹性网络回归,-3333654044.736185,130586906.58358294,1994915.2206763176,线性模型
岭回归,-3338844563.9532986,130688529.33807097,2003342.6651483737,线性模型
